id,section,item,source_status,media_status,source_locations,evidence,next_step_for_claude,next_step_for_abijah_or_team
student-lizzy,Lead Features,Student feature: Lizzie Su,Integrated in review build; final approval pending,Portrait local and normalized,"Gmail story links from Benjamin Paul on September 8 2026; source-review/Claude outputs/epss-newsletter-source/lizzie-su.html; app/public/assets/people/lizzie-su.jpeg","Story copy is now in the authoritative Vite/DC source and deployed as lizzie-su.html; spelling normalized to Lizzie Su.","Treat as integrated; make only approval/copyedits requested by stakeholders.","Confirm final approval and preferred display spelling."
faculty-schauble,Lead Features,Faculty feature: Edwin Schauble,Integrated in review build; final approval pending,Local portrait exists,"Gmail story links from Benjamin Paul on September 8 2026; source-review/Claude outputs/epss-newsletter-source/edwin-schauble.html; app/public/assets/people/edwin-schauble.jpg","Story copy is now in the authoritative Vite/DC source and deployed as edwin-schauble.html with draft title Investigating Earth's History with Isotopic Fingerprints.","Treat as integrated; preserve draft title unless final title arrives.","Confirm final article approval."
rimfax,Research,RIMFAX: Paige and Emily,Temporary substitute prepared; final article blocked,Official NASA/JPL Mars image staged,"Planning sheet row 2; https://www.jpl.nasa.gov/images/pia24047-rimfax-at-work-on-nasas-perseverance-illustration/; source-review/claude-transfer/temporary-review-copy-20260909.md; app/public/assets/images/2026/rimfax/perseverance-ingenuity-mars-nasa-jpl.jpg","Final source copy still has not arrived; a short JPL-grounded substitute and NASA/JPL visual assets are staged for internal review only.","Keep visibly labelled as temporary/pending final RIMFAX team article; do not add EPSS-specific claims without source copy.","Ask Paige/Cardarelli team or Emmanuel/Ben for final source copy and video decision."
peng-lab,Research,Peng PTRX/Sapphire/new lab and spring field video,Integrated in review build; approved per source note,Four email photos staged and wired,"Gmail story links and photo attachment from Benjamin Paul on September 8 2026; source-review/Claude outputs/epss-newsletter-source/peng-ni.html; app/public/assets/images/2026/peng-ni/","Peng Ni story and four photos are integrated; gallery was adjusted to avoid duplicate hero/lab images in the main gallery grid.","Treat as integrated; keep YouTube video as link unless a clean frame is exported.","Confirm photo captions/credits and any Sapphire Lab group names."
glazner,Lead Features / Alumni,Allen Glazner alumni lecture,Integrated in review build; final approval pending,Box lecture media exists; recording link not confirmed,"Gmail story links from Benjamin Paul on September 8 2026; Box: EPSS Photos > Alumni Lectures > Allen Glazner 2026; source-review/Claude outputs/epss-newsletter-source/allen-glazner.html","Article copy is now in the authoritative Vite/DC source and deployed as allen-glazner.html with draft title When the evidence stops fitting.","Treat as integrated; preserve draft title until final signoff; add recording/embed only if provided.","Confirm final approval and final lecture recording/embed link if needed."
craig-manning,Farewells,Craig Manning retirement,Waiting for material,Unknown,"Planning sheet row 5","Sheet says Waiting for Material; meeting notes say statement still needed.","Keep grouped retirement card only; no final article.","Ask Emmanuel/status owner for statement/materials."
gilles-peltzer,Farewells,Gilles Peltzer retirement,Available,Photo ZIP exists; selection needed,"Drive doc 1UWysMV6_wDRXv3w0sBjvtRzcsRCAMtxo6JMSboK7CKE; Drive file 1FQMUjYtoapOBN0Wdgs2hwHU4srEXe5Zq","Sheet says we have it; doc has article/captions; zip is accessible.","Draft from source; use captions; wait for selected photos.","Extract/select photos and confirm final image choices."
steve-joy,Farewells,Steve Joy retirement/researcher farewell,Copy available despite sheet status,Portrait not confirmed,"Drive doc 1z3d9VCcoc-qVe0DzYblZ-Do_IELpRD0bjoNn1MwBa9I","Fetched doc contains body copy; sheet still says Waiting for Material.","Use copy but do not assert portrait availability.","Find/confirm portrait or use no-portrait layout."
peter-chi,Farewells,Peter Chi retirement/researcher farewell,Available,Portrait not confirmed,"Drive/Docx 1pEUhffPnBrq-oeDPzZ4WhctQ6ROO_lcD","Fetched DOCX contains body copy; sheet says we have it.","Use copy; avoid portrait-specific layout until image confirmed.","Find/confirm portrait or use no-portrait layout."
student-awards,Recognition,Student awards and dissertation fellowships,Partial,14 public-source portrait candidates prepared and wired where available; Ming-Chang Liu still missing if needed,"Drive doc 1IMZUqxXUy6--tSWgfhzPR27N_rE-2Y6jMYk2hyukQ8M; source-review/claude-transfer/awards-portraits-20260910.md","Doc contains many blurbs; still has reached-out markers and missing subgroups. Portrait crops are prepared and wired for matching current awards rows, but they are not proof of award category or approval.","Use confirmed blurbs only; preserve text-only treatment where a portrait is missing.","Confirm missing recipients, hosts, photos, and any required portrait credit language."
faculty-awards,Recognition,Faculty awards,Available,14 public-source portrait candidates prepared and wired where available; Ming-Chang Liu still missing if needed,"Drive doc 11h4yT3zj6ViXP-IpMHT_wMmWlxEZaRBmGBDl9CSaEGI; planning sheet row 10; source-review/claude-transfer/awards-portraits-20260910.md","Sheet says we have it; row includes award copy. Portrait crops are prepared and wired for matching current awards rows, but they are not proof of award category or approval.","Condense into recognition module from available copy; preserve text-only treatment where a portrait is missing.","Confirm final list/order and whether Ming-Chang Liu needs a portrait."
undergrad-fellowships,Recognition,Undergraduate summer fellowships,Waiting for material,Missing or unlocated,"Planning sheet row 11; Student Awards doc","Sheet asks for 2-3 sentences on research and photo; Student Awards doc does not clearly contain this set.","Do not draft final names/projects/photos.","Ask Nanette/Jon for list, blurbs, mentors, photos."
art-montana,Farewells / Memorials,Art Montana obituary,Available,Use existing EPSS page media if needed,"https://epss.ucla.edu/in-memoriam-arthur-j-montana-1935-2025/","Planning sheet says we have it.","Summarize/link respectfully.","Confirm whether full text or short memorial card is desired."
ronald-shreve,Farewells / Memorials,Ronald Shreve obituary,Available,Use existing EPSS page media if needed,"https://epss.ucla.edu/in-memoriam-professor-ronald-l-shreve-1930-2025/","Planning sheet says we have it.","Summarize/link respectfully.","Confirm whether full text or short memorial card is desired."
candice-hansen,Farewells / Memorials,Candice Hansen-Koharcheck obituary,Available externally,Unknown,"https://www.psi.edu/blog/remembering-candice-hansen-koharcheck/","Sheet says Candace Hansen but source says Candice Hansen-Koharcheck.","Use source spelling only after stakeholder confirmation.","Confirm name spelling and permission/source approach."
gerald-schubert,Farewells / Memorials,Gerald Schubert memorial,Available,Supplemental PDF available,"Drive folder 1YwZCYiOJJ1J3q4BmOonKaK8Bs4NrXA-a","Folder lists Schubert-Obit-UCLA_v3.docx and Schubert-Reminscinces-RAA19.pdf.","Use obituary as source; note memorial review status if needed.","Confirm final review/approval owner."
jonathan-mitchell,Research,Jonathan Mitchell Eos features,Not started,Unknown,"Planning sheet row 16","No source doc found in checked notes.","Do not draft beyond placeholder unless links/source appear.","Ask whether this is still in scope."
jewitt-hilke,Feature / Art & Science,David Jewitt and Hilke Schlichting art and science,Available,Images/captions in PDFs; extraction needed,"Jewitt PDF 1KixS8YECm9LHXLEWAfpgvgn4JIzgRz0j; Hilke PDF 1M-IC_733TQPk8YkWup4yOBlr372ywpC0","Both PDFs fetched; Hilke is present.","Draft Q&A/visual feature from PDFs; do not ask for Hilke answers again.","Extract image assets and preserve captions/credits."
journal-covers,Research / Gallery,Journal covers,Not started,Unlocated,"Planning sheet row 18","No module/source set found.","Omit or keep as future gallery placeholder.","Ask only if stakeholders want to include it."
suburban,Field / Community,Goodbye Silver Suburban,Partial,Field photos available separately,"Drive doc 1_2avaACxPXN_J3rh3juHlgO58eKssagw1XEpV8s5SkQ; Box field photo folders","Doc contains only Shanya quote; sheet includes potential student/photo contributors.","Do not present as complete article; can frame as field-photo/callout if approved.","Ask who owns final copy/source gathering."
geophysics-136c,Field,Geophysics 136C / John He photo essay,Access blocked for article; separate John He field dispatch integrated,Box field media available; Spring 2026 DOCX media staged,"iCloud Pages link; Box Field 2026 and EPSS 103A 2026; source-review/raw-media/John-He/Field newsletter, Spring 2026.docx","The Spring 2026 John He field dispatch is integrated as john-he.html, but the distinct Geophysics 136C article source remains unavailable.","Keep John He field dispatch separate from 136C unless the editor explicitly merges them; do not claim 136C copy is accessible.","Ask for a Google Doc, Word, PDF export, or access to the iCloud Pages source."
balboa,Research,Xiaoyan Zhou BALBOA balloon update,Available,Embedded figures/captions likely in DOCX; extraction needed,"Drive/Docx 1jOeujjNVAWcLzsDALcquJUaF4w0s-IhH","Fetched DOCX has copy and figure captions; file size suggests embedded media.","Draft from source; preserve figure captions.","Extract figures from DOCX and confirm figure credit/citation."
