story,proposed_use,site_asset,source_file,source_item,caption_or_credit_status,notes
balboa,story/homepage hero,/assets/images/2026/balboa/balboa-launch-vehicle.jpg,source-review/raw-media/balboa/The BALBOA Balloon Project_EPSS.docx,word/media/image7.jpeg,credit pending,"NASA balloon launch vehicle and BALBOA payload preparations at Fort Sumner, NM; strong wide hero candidate."
balboa,inline source figure,/assets/images/2026/balboa/balboa-meinel-aurora.png,source-review/raw-media/balboa/The BALBOA Balloon Project_EPSS.docx,word/media/image2.png,caption from DOCX; credit pending,"First Meinel auroral images; source caption references Zhou et al., 2007."
balboa,inline source figure,/assets/images/2026/balboa/balboa-dayglow-gravity-waves.png,source-review/raw-media/balboa/The BALBOA Balloon Project_EPSS.docx,word/media/image3.png,caption from DOCX; credit pending,"Gravity waves in dayglow O2 1270 nm; source caption references Zhou et al., 2023."
balboa,supporting figure candidate,/assets/images/2026/balboa/balboa-magnetosphere-diagram.png,source-review/raw-media/balboa/The BALBOA Balloon Project_EPSS.docx,word/media/image1.png,caption from DOCX; third-party adaptation review needed,"Solar wind-magnetosphere interaction diagram adapted from aurorahunter.com per DOCX caption."
art-science,story/homepage hero,/assets/images/2026/art-science/art-science-hero-collage.jpg,"source-review/raw-media/art-science/Jewitt painting.pdf; source-review/raw-media/art-science/Art_and_Science_Hilke.pdf","Jewitt painting page 5; Schlichting page 4",captions from PDFs; credit pending,"Side-by-side local preview collage; no baked-in text."
art-science,supporting artwork candidate,/assets/images/2026/art-science/jewitt-forest.jpg,source-review/raw-media/art-science/Jewitt painting.pdf,Jewitt-painting-5.png,caption from PDF; credit pending,"Forest: 16 x 20 inches, acrylic dripped from a stick."
art-science,supporting artwork candidate,/assets/images/2026/art-science/hilke-morni.jpg,source-review/raw-media/art-science/Art_and_Science_Hilke.pdf,Art_and_Science_Hilke-4.png,caption from PDF; credit pending,"Morni, acrylics on canvas, 2007, 30 x 30 inches."
gilles-peltzer,story/homepage hero,/assets/images/2026/peltzer/peltzer-death-valley-dunes.jpg,source-review/raw-media/peltzer/peltzer_pics.zip,P3180036.JPG,caption/credit pending,"Strong field-teaching image; likely Death Valley dune field, but exact caption must be matched."
gilles-peltzer,supporting image candidate,/assets/images/2026/peltzer/peltzer-field-map.jpg,source-review/raw-media/peltzer/peltzer_pics.zip,IMG_1132.JPG,caption/credit pending,"Field instruction with map/photo; exact caption must be matched."
commencement-2026,story/homepage hero,/assets/images/2026/commencement/commencement-class-2026-geology-building.jpg,source-review/raw-media/commencement/DSC08208.jpg,DSC08208.jpg,"credit confirmed: Valeria Jaramillo Hernandez and Zachary Lacson; caption details pending","Suggested commencement class photo from source review; staged locally for preview."
field-136c,media candidate only,/assets/images/2026/field/field-class-desert-outcrop.jpg,source-review/raw-media/field/DSC00126.JPG,DSC00126.JPG,caption/credit pending,"Strong field-class image found in Downloads and copied into local intake; article text remains blocked."
rimfax,homepage visual slot,/assets/images/2026/rimfax/perseverance-ingenuity-mars-nasa-jpl.jpg,https://science.nasa.gov/resource/portrait-of-perseverance-and-ingenuity-artists-concept/,perseverance-ingenuity-mars-nasa-jpl.jpg,credit: NASA/JPL-Caltech,"Preferred official Mars-surface image for the RIMFAX visual slot while source copy remains blocked."
rimfax,supporting/alternate locator visual,/assets/images/2026/rimfax/rimfax-location-perseverance.jpg,https://science.nasa.gov/photojournal/rimfax-location-on-nasas-perseverance-rover-illustration/,rimfax-location-perseverance-nasa-jpl.jpg,credit: NASA/JPL-Caltech,"Official RIMFAX location image if Claude wants a more instrument-specific supporting graphic."
impact-giving,design/reference visual,/assets/images/2026/giving/chairs-installation-2026.jpg,https://epss.ucla.edu/wp-content/uploads/2026/07/chairs-installation-2026.jpg,chairs-installation-2026.jpg,"credit: Penny Jennings, UCLA Division of Physical Sciences","Public EPSS endowed-chairs installation image saved locally so Claude does not need to hotlink it."
